Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University  ,School ,Pos_Rank,Reg_Rank,State_Rank, Pos, City, State, Height, Weight, Stars, Grade, University
Jontrey Tillman,ATH,Baldwin,LA,5'9'',170.0,Houston,,142,,,2012,Houston,74,628,57,,,,,,,,,,,,,
Terrence Taylor,RB,Diboll,TX,5'10'',195.0,Houston,,,,,2012,Houston,74, None, None,,,,,,,,,,,,,
Steven Aikens,OLB,Arlington,TX,6'1'',200.0,Houston,,166,,,2012,Houston,70,414,323,,,,,,,,,,,,,
Jarrett Irving,ATH,Houston,TX,5'10'',180.0,Houston,,193,,,2012,Houston,70,422,328,,,,,,,,,,,,,
Adrian McDonald,ATH,Lawton,OK,5'9'',160.0,Houston,,209,,,2012,Houston,67,458,34,,,,,,,,,,,,,
Ryan Jackson,ATH,Angleton,TX,5'9'',185.0,Houston,,NR,,,2012,Houston,,,,,,,,,,,,,,,,
Davont'e Thomas,Houston,TX,6'1'',200,,,,,,,2012,Houston,Houston,,,,,,,,,,,,,,,
Blake Herman,OT,Needville,TX,6'6'',290.0,Houston,,,,,2012,Houston,,,,,,,,,,,,,,,,
Rex Dausin,QB,Warren,TX,6'1'',170.0,Houston,,,,,2012,Houston,,,,,,,,,,,,,,,,
Cameron Malveaux,DE,Hamshire,TX,6'5'',215.0,Houston,,NR,,,2012,Houston,,,,,,,,,,,,,,,,
Devin Parks,ATH,Edna,TX,5'10'',170.0,Houston,,NR,,,2012,Houston,,,,,,,,,,,,,,,,
Steven Taylor,ILB,Cedar Hill,TX,6'1'',200.0,Houston,,NR,,,2012,Houston,, NR, NR,,,,,,,,,,,,,
Andrew Rodriguez,WR,Allen,TX,5'10'',170.0,Houston,,,,,2012,Houston,,,,,,,,,,,,,,,,
William Jackson,ATH,Houston,TX,6'2'',175.0,Houston,,,,,2012,Houston,,,,,,,,,,,,,,,,
Xavier Maxwell,WR,Humble,TX,6'0'',178.0,Houston,,,,,2012,Houston,,,,,,,,,,,,,,,,
Trevon Randle,OLB,League City,TX,6'1'',210.0,Houston,,,,,2012,Houston,,,,,,,,,,,,,,,,
Donald Gage III,WR,Baton Rouge,LA,6'0'',180,Houston,,77,,,2013,Houston,78.0,263,25,,,,,,,,,,,,,
Joseph Glenn,RB,Giddings,TX,5'10'',202,Houston,,45,,,2013,Houston,78.0,105,85,,,,,,,,,,,,,
Deondre Skinner,TE,Patterson,LA,6'3'',220,Houston,,,,,2013,Houston,77.0,,,,,,,,,,,,,,,
Michael Jolivet,DE,Beaumont,TX,6'4'',245,Houston,,10,,,2013,Houston,77.0, NR, NR,,,,,,,,,,,,,
John O'Korn,QB,Fort Lauderdale,FL,6'3'',205,Houston,,101,,,2013,Houston,77.0,155,121,,,,,,,,,,,,,
DeMarcus Ayers,ATH,Lancaster,TX,5'11'',162,Houston,,4,,,2013,Houston,76.0,,,,,,,,,,,,,,,
Billy Cosh,QB,Annapolis,MD,6'1'',211,Houston,,104,,,2013,Houston,76.0,,,,,,,,,,,,,,,
Greg Ward,ATH,Tyler,TX,5'10'',165,Houston,,395,,,2013,Houston,76.0,,,,,,,,,,,,,,,
Caleb Tucker,OLB,Monroe,LA,6'2'',225,Houston,,10,,,2013,Houston,76.0,187,147,,,,,,,,,,,,,
Ja'Braylin Thomas,OT,Weimar,TX,6'6'',310,Houston,,,,,2013,Houston,76.0,,,,,,,,,,,,,,,
D'Juan Hines,QB,Houston,TX,6'1'',190,Houston,,15,,,2013,Houston,76.0, None, None,,,,,,,,,,,,,
Ty Cummings,K,Southlake,TX,5'11'',180,Houston,,87,,,2013,Houston,76.0,,,,,,,,,,,,,,,
Chauntez Jackson,DE,Inglewood,CA,6'4'',235,Houston,,,,,2013,Houston,75.0,,,,,,,,,,,,,,,
Turon Walker,CB,Pleasant Hill,CA,5'11'',185,Houston,,NR,,,2013,Houston,75.0, NR, NR,,,,,,,,,,,,,
Tyus Bowser,DE,Tyler,TX,6'2'',230,Houston,,,,,2013,Houston,74.0,,,,,,,,,,,,,,,
Damien Parris,OT,San Pablo,CA,6'7'',290,Houston,,,,,2013,Houston,73.0, None, None,,,,,,,,,,,,,
Kent London,S,Milpitas,CA,6'1'',210,Houston,,134,,,2013,Houston,73.0,256,171,,,,,,,,,,,,,
Josh Thomas,OT,Shreveport,LA,6'6'',320,Houston,,140,,,2013,Houston,73.0,,,,,,,,,,,,,,,
Nick Thurman,DT,Dallas,TX,6'4'',250,Houston,,142,,,2013,Houston,73.0,,,,,,,,,,,,,,,
Emerald Faletuipapai,OT,Gardena,CA,6'5'',345,Houston,,NR,,,2013,Houston,71.0, NR, NR,,,,,,,,,,,,,
Javin Webb,RB,Shreveport,LA,5'9'',190,Houston,,,,,2013,Houston,70.0, None, None,,,,,,,,,,,,,
Nomluis Fruge,OLB,Houston,TX,6'1'',190,Houston,,,,,2013,Houston,68.0,,,,,,,,,,,,,,,
Zack White,CB,DeSoto,TX,6'0'',165,Houston,,,,,2013,Houston,,,,,,,,,,,,,,,,
Tyler McCloskey,ILB,Houston,TX,,6'2'',,Houston,,,,2013,Houston,220.0, None, None,,,,,,,,,,,,,
John Leday,WR,Port Arthur,TX,5'10'',170,Houston,,,,,2013,Houston,,,,,,,,,,,,,,,,
Trevor Harris,DE,Brooklyn,NY,6'5'',235,Houston,,,,,2013,Houston,,,,,,,,,,,,,,,,
Elandon Roberts,ILB,Port Arthur,TX,,6'1'',,Houston,,,,2013,Houston,225.0,,,,,,,,,,,,,,,
Tyreik Gray,RB,Houston,TX,5'11'',185,81,,,,,2015,Houston,,,,Houston  ,,22,48,39,,,,,,,,
Kameron Eloph,OG,Bossier City,LA,6'3'',277,76,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Joshua Jones,OT,Richmond,TX,6'6'',271,74,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Terry Mark,WR,Lufkin,TX,6'1'',185,74,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Kevrin Justice,RB,Kilgore,TX,5'11'',175,73,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Da'Cuan Jenkins,ATH,Huntsville,TX,6'2'',230,71,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Kobe Idumwonyi,TE,Cedar Hill,TX,6'1'',221,70,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Leroy Godfrey,OLB,Missouri City,TX,6'3'',220,69,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Jordan Milburn,NR,Galveston,TX,6'1'',205,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Will Noble,OT,Leander,TX,6'4'',259,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Tyrell Thompson,DE,Copperas Cove,TX,6'2'',250,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Chukuemeke Egbule,ATH,Houston,TX,6'2'',196,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Jarrid Williams,OT,Cedar Hill,TX,6'5'',276,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Camden Ross,S,Fort Worth,TX,6'1'',190,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Devin Smith,WR,River Ridge,LA,6'2'',180,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Darius Gilbert,S,Springhill,LA,6'2'',190,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Ryan Deshotel,TE,Pearland,TX,6'4'',235,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Emeke Egbule,DE,Houston,TX,6'3'',215,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Michael Eke,S,Houston,TX,6'2'',190,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Rusty Clark,TE,Hattiesburg,MS,6'6'',250,NR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Adam Schulz,QB,Muskego,WI,6'2'',210,TR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Chance Allen,WR,Missouri City,TX,6'2'',200,TR,,,,,2015,Houston,,,,Houston  ,,,,,,,,,,,,
Ed Oliver,DT,Houston,TX,6'2'',289,92.0,Houston,4,,,2016,Houston,,2,2,,,,,,,,,,,,,
Na'Ty Rodgers,OT,Pomfret,MD,"6'5""",280,82.0,Houston,36,,,2016,Houston,,41,38,,,,,,,,,,,,,
D'Eriq King,ATH,Manvel,TX,"5'9""",162,82.0,Houston,44,,,2016,Houston,,98,81,,,,,,,,,,,,,
Courtney Lark,WR,Bellaire,TX,"6'1""",172,81.0,Houston,9,,,2016,Houston,,,,,,,,,,,,,,,,
Mulbah Car,RB,Austin,TX,"5'11""",195,79.0,Houston,,,,2016,Houston,, None, None,,,,,,,,,,,,,
J.J. Dallas,CB,San Diego,CA,"6'0""",200,78.0,Houston,53,,,2016,Houston,,132,107,,,,,,,,,,,,,
Marquez Stevenson,WR,Shreveport,LA,"5'11""",170,78.0,Houston,32,,,2016,Houston,,135,110,,,,,,,,,,,,,
Collin Wilder,S,Katy,TX,"5'11""",180,77.0,Houston,130,,,2016,Houston,,,,,,,,,,,,,,,,
Bowman Sells,QB-PP,Allen,TX,"6'2""",182,77.0,Houston,8,,,2016,Houston,,,,,,,,,,,,,,,,
Keith Corbin,WR,Beaumont,TX,"6'2""",175,77.0,Houston,54,,,2016,Houston,,162,128,,,,,,,,,,,,,
Terrell Williams,S,Lawton,OK,"6'3""",210,75.0,Houston,61,,,2016,Houston,,,,,,,,,,,,,,,,
Keenan Murphy,OG,Crosby,TX,"6'2""",295,75.0,Houston,,,,2016,Houston,, None, None,,,,,,,,,,,,,
Dixie Wooten III,OG,Houston,TX,"6'3""",312,75.0,Houston,82,,,2016,Houston,,207,161,,,,,,,,,,,,,
