Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars,University  , Reg_rank, State_rank,School
Dash Bauman,OLB,Lincoln,NE,6'2'',200,Lincoln East High School,,101,,,2024,Wyoming,75,,,,
Charles Williams,CB,Kentfield,CA,6'0'',175,Marin Catholic High School,,163,,,2024,Wyoming,74,,,,
Eltoum Murgus,OLB,North Kansas City,MO,6'3'',200,North Kansas City High School,,,,,2024,Wyoming,73,,,,
Bleyne Bryant,ATH,Bowling Green,MO,6'1'',185,Bowling Green High School,,,,,2024,Wyoming,72,, None, None,
Garrett Combs,DT,Temple,TX,6'3'',260,Lake Belton High School,,127,,,2024,Wyoming,72,,386,297,
Adrian Onyiego,OLB,Rogers,MN,6'2'',200,Rogers High School,,NR,,,2024,Wyoming,NR,, NR, NR,
Brycen Lotz,OT,Braham,MN,6'5'',260,Braham Area High School,,,,,2024,Wyoming,NR,, None, None,
Jake Wilson,ATH,Montgomery,TX,6'3'',215,Montgomery High School,,NR,,,2024,Wyoming,NR,,,,
Giovanni Panozzo,OT,Arvada,CO,6'5'',270,Arvada West High School,,NR,,,2024,Wyoming,NR,, NR, NR,
Chris Durr,WR,Chicago,IL,5'11'',165,Morgan Park High School,,NR,,,2024,Wyoming,NR,, NR,,
Braylon Jenkins,OG,West Des Moines,IA,6'3'',280,Valley High School,,,,,2024,Wyoming,NR,,,,
Hunter Kallstrom,DE,Kerkhoven,MN,6'3'',220,Kerkhoven Murdock & Sunburg H. S.,,,,,2024,Wyoming,NR,,,,
Tyler Nystrom,WR,Arden Hills,MN,6'1'',170,Mounds View High,,,,,2024,Wyoming,NR,, None, None,
Drew Jackson,CB,Cheyenne,WY,5'11'',160,East High School,,NR,,,2024,Wyoming,NR,, NR, NR,
Nico Hamilton,RB,Austin,TX,5'10'',200,Lake Travis High School,,NR,,,2024,Wyoming,NR,,,,
