Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School  
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,,,,,2020,Indiana,,,,None  
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,,,,,2020,Indiana,,,,None  
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,,,,2020,Indiana,,,,None  
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,,,,,2020,Indiana,,,,None  
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,,,,2020,Indiana,,,,None  
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,,,,,2020,Indiana,,,,None  
Steve Jones,CB,Kansas City,MO,,,,,,,,2020,Indiana,,,,None  
Chad Gross,K,Suwanee,GA,,,,,,,,2020,Indiana,,,,None  
Irvin George,RB,Orlando,FL,5'11'',190.0,,,,,,2020,Indiana,,,,None  
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,,,,,2020,Indiana,,,,None  
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,,,,,2020,Indiana,,,,
Jaquez Smith,WR,Atlanta,GA,6'0'',191,Indiana,,145,,,2021,Indiana,64,18,4,
Jordyn Williams,WR,Cedar Hill,TX,6'0'',185,Indiana,,63,,,2021,Indiana,83,66,3,
Cooper Jones,DE,Valparaiso,IN,6'6'',235,Indiana,,61,,,2021,Indiana,53,5,3,
Larry Smith,CB,Orange Park,FL,5'10'',170,Indiana,,36,,,2021,Indiana,231,82,3,
Malachi Bennett,WR,Fairfield,AL,6'2'',180,Indiana,,85,,,2021,Indiana,,,3,
Vinny Fiacable,OG,Fort Wayne,IN,6'4'',290,Indiana,,37,,,2021,Indiana,,,3,
Trenten Howland,ATH,Joliet,IL,6'2'',220,Indiana,,57,,,2021,Indiana,77,16,3,
Maurice Freeman,S,Chesapeake,VA,6'0'',200,Indiana,,55,,,2021,Indiana,87,18,3,
Donaven McCulley,QB,Indianapolis,IN,6'5'',195,Indiana,,17,,,2021,Indiana,94,13,3,
David Holloman,RB,Auburn Hills,MI,5'10'',190,Indiana,,78,,,2021,Indiana,128,26,3,
Joshua Sales,OT,Brownsburg,IN,6'6'',285,Indiana,,97,,,2021,Indiana,,,3,
Aaron Steinfeldt,TE,Bloomington,IN,6'5'',230,Indiana,,36,,,2021,Indiana,,,3,
Jordan Grier,Ellenwood,GA,6'0'',185,3,,,491,,,2021,Indiana,87,106,Indiana,
James Evans,K,Melbourne,AUS,6'1'',205,Indiana,,,,,2021,Indiana,17,3,3,
D.J. Matthews,WR,Tallahassee,FL,5'10'',154,Indiana,,,,,2021,Indiana, None, None,3,
Ryder Anderson,DE,Katy,TX,6'7'',265,Indiana,,,,,2021,Indiana, None, None,3,
Zach Carpenter,OG,Cincinnati,OH,6'4'',315,Indiana,,,,,2021,Indiana,,,3,
Dasan McCullough,OLB,Bloomington,IN,6'5'',230,Indiana,,5,6,1,2022,Indiana,,,86,
Trevell Mullen,CB,Coconut Creek,FL,6'0'',155,Indiana,,,,,2022,Indiana,,,82,
Dominick James,DT,Bradenton,FL,6'2'',280,Indiana,,20,99,30,2022,Indiana,,,82,
Gi'Bran Payne,RB,Cincinnati,OH,5'10'',190,Indiana,,29,,,2022,Indiana,,,81,
Richard Thomas,DE,Plantation,FL,6'2'',250,Indiana,,13,,,2022,Indiana,,,80,
Demon Moore,OG,Fort Wayne,IN,6'4'',300,Indiana,,45,,,2022,Indiana,,,80,
James Monds III,CB,Vero Beach,FL,5'10'',180,Indiana,,13,,,2022,Indiana,,,80,
Brendan Sorsby,QB-DT,Corinth,TX,6'3'',205,Indiana,,44,,,2022,Indiana,,,79,
Phillip Dunnam,ATH,Miami,FL,6'1'',180,Indiana,,100,60,12,2022,Indiana,,,79,
Omar Cooper,WR,Indianapolis,IN,6'1'',170,Indiana,,76,338,106,2022,Indiana,,,78,
Jamari Sharpe,CB,Miami,FL,6'2'',180,Indiana,,390,74,124,2022,Indiana,,,78,
Venson Sneed,DE,Winter Park,FL,6'4'',250,Indiana,,45,,,2022,Indiana,,,77,
Bray Lynch,OG,Austin,TX,6'5'',285,Indiana,,24,105,29,2022,Indiana,,,76,
Ryan Miller,TE-H,Chagrin Falls,OH,6'6'',215,Indiana,,29,,,2022,Indiana,,,76,
Brody Foley,TE-Y,Cincinnati,OH,6'6'',235,Indiana,,33,,,2022,Indiana,,,76,
Kaiden Turner,ILB,Fayetteville,AR,6'2'',220,Indiana,,,,45,2022,Indiana,,,76,
Cameron Camper,WR,JC,Lancaster,TX,6'1'',75,Indiana,127,142,43,2022,Indiana,,,190,
J'Mari Monette,DT,Alexandria,LA,6'4'',265,Indiana,,127,145,44,2022,Indiana,,,75,
Carter Smith,OT,Powell,OH,6'6'',270,Indiana,,133,611,50,2022,Indiana,,,75,
Isaiah Jones,DE,London,OH,6'2'',215,Indiana,,214,676,155,2022,Indiana,,,75,
Jaylin Lucas,ATH,Houma,LA,5'8'',175,Indiana,,,,,2022,Indiana,,,74,
Kamryn Perry,WR,Marietta,GA,5'9'',165,Indiana,,,,,2022,Indiana,,,73,
Josh Henderson,RB-TR,Princeton,NJ,5'11'',215,Indiana,,,,,2022,Indiana,,,TR,
Shaun Shivers,RB-TR,Hollywood,FL,5'7'',190,Indiana,,,,,2022,Indiana,,,TR,
Emery Simmons,WR-TR,Hope Mills,NC,6'1'',195,Indiana,,,,,2022,Indiana,,,TR,
Bradley Jennings Jr.,ILB-TR,Jacksonville,FL,6'2'',230,Indiana,,,,,2022,Indiana,,,TR,
LeDarrius Cox,DT-TR,Mobile,AL,6'4'',310,Indiana,,,,,2022,Indiana,,,TR,
Patrick Lucas,DT-TR,Wetumpka,AL,6'2'',290,Indiana,,,,,2022,Indiana,,,TR,
J.H. Tevis,DE-TR,Atherton,CA,6'4'',285,Indiana,,,,,2022,Indiana,,,TR,
Connor Bazelak,QB-PP-TR,Dayton,OH,6'3'',215,Indiana,,,,,2022,Indiana,,,TR,
Jared Casey,ILB-TR,Louisville,KY,6'3'',235,Indiana,,,,,2022,Indiana,,,TR,
Myles Jackson,OLB-TR,Hoschton,GA,6'3'',245,Indiana,,,,,2022,Indiana,,,TR,
Ta'Derius Collins,DE,Shreveport,LA,6'4'',250,Indiana,,27,,,2023,Indiana,63,24,78.0,
Broc Lowry,QB-PP,Canfield,OH,6'3'',200,Indiana,,,,,2023,Indiana,,,78.0,
Tyler Jeffries,OG,Alcoa,TN,6'4'',320,Indiana,,27,,,2023,Indiana,71,10,78.0,
Sam West,TE-H,Greensburg,IN,6'5'',210,Indiana,,73,,,2023,Indiana,131,77,77.0,
Orlando Greenlow,ATH,Lawndale,CA,6'5'',210,Indiana,,88,,,2023,Indiana,133,79,77.0,
Jordan Shaw,CB,Downey,CA,5'11'',170,Indiana,,19,,,2023,Indiana,391,95,77.0,
Anthony Miller Jr.,TE-Y,Duluth,GA,6'5'',235,Indiana,,8,,,2023,Indiana,422,146,77.0,
William Larkins,OC,Hollywood,FL,6'3'',300,Indiana,,4,,,2023,Indiana, None, None,76.0,
Tyrik McDaniel,S,JC,Irmo,SC,6'0'',76,Indiana,144,,,2023,Indiana,,,200.0,
Derrick Bohler,WR,Miami,FL,6'1'',195,Indiana,,4,,,2023,Indiana,276,200,76.0,
Nicolas Radicic,K,Coppell,TX,5'11'',180,Indiana,,6,,,2023,Indiana, NR, NR,76.0,
Jamison Kelly,S,JC,Columbia,MS,5'11'',75,Indiana,122,,,2023,Indiana,,,200.0,
Amare Ferrell,S,Lake City,FL,6'1'',200,Indiana,,86,,,2023,Indiana,,,75.0,
Austin Barrett,OG,Saint Charles,IL,6'4'',265,Indiana,,609,,,2023,Indiana,94,213,75.0,
Desirrio Riles,OLB,Jacksonville,FL,6'3'',220,Indiana,,,,,2023,Indiana,,,74.0,
DeQuece Carter,WR,Woodberry Forest,VA,,,Indiana,,,,,2023,Indiana,,,,
Andre Carter,DE,Detroit,MI,,,Indiana,,,,,2023,Indiana,,,,
