Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Jared Joyner,RB,Coral Springs,FL,6'0'',171,NR,Western Michigan,,,,,2012,Western Michigan,,,
Treyvon Johnson,S,Stuart,FL,5'11'',197,NR,Western Michigan,,,,,2012,Western Michigan,,,
Jabari Bothwell,DT,Citra,FL,5'11'',260,NR,Western Michigan,,,,,2012,Western Michigan,, None, None
Demetris Ates,S,Pembroke Pines,FL,6'0'',170,NR,Western Michigan,,,,,2012,Western Michigan,, NR, NR
Ben Arnold,TE,Saint Louis,MO,6'6'',205,NR,Western Michigan,,NR,,,2012,Western Michigan,, NR, NR
Leo Alba,CB,Fort Lauderdale,FL,6'0'',170,NR,Western Michigan,,NR,,,2012,Western Michigan,,,
Junior Estelus,DT,Lake Worth,FL,6'0'',270,NR,Western Michigan,,,,,2012,Western Michigan,, None , None
J. Schroeder,K,Columbus,OH,6'2'',195,NR,Western Michigan,,,,,2012,Western Michigan,, None, None
Jake Minster,ILB,Woodland Hills,CA,6'1'',230,NR,Western Michigan,,NR,,,2012,Western Michigan,, NR, NR
Darrin Duncan,WR,Walnut,CA,6'0'',180,NR,Western Michigan,,,,,2012,Western Michigan,, NR, None
Terry Easmon,ILB,Elk Grove,CA,6'3'',230,NR,Western Michigan,,NR,,,2012,Western Michigan,, NR, NR
Justin Collins,WR,Sacramento,CA,6'2'',200,NR,Western Michigan,,NR,,,2012,Western Michigan,,,
Cameron Thomas,QB-PP,South Lyon,MI,6'4'',170,,76,Western Michigan,,,,2013,Western Michigan,, None, None
Khairi Bailey,DE,Chicago,IL,6'3'',240,,73,Western Michigan,105,,,2013,Western Michigan,,165,36
Jackson Day,OT,Mishawaka,IN,6'4'',280,,72,Western Michigan,124,,,2013,Western Michigan,,181,18
Logan Oce,CB,Miami,FL,5'11'',170,,67,Western Michigan,121,,,2013,Western Michigan,,716,274
Shakir Carr,OT,South Bend,IN,6'3'',283,,67,Western Michigan,244,,,2013,Western Michigan,,6,26
David Curle,OG,Shelby Township,MI,6'3'',275,,62,Western Michigan,135,,,2013,Western Michigan,,,
Corey Davis,WR,Wheaton,IL,6'2'',180,,NR,Western Michigan,,,,2013,Western Michigan,,,
Evan Faunce,TE-Y,Indianapolis,IN,6'3'',215,,NR,Western Michigan,,,,2013,Western Michigan,,,
Caleb Bailey,OLB,Romeoville,IL,6'0'',208,,NR,Western Michigan,NR,,,2013,Western Michigan,,,
Fabian Johnson,RB,Miami,FL,5'8'',177,,NR,Western Michigan,,,,2013,Western Michigan,, None, None
Austin Lewis,OLB,Terre Haute,IN,6'3'',205,,NR,Western Michigan,,,,2013,Western Michigan,,,
Josh Bass,OT,Battle Creek,MI,6'5'',285,,NR,Western Michigan,NR,,,2013,Western Michigan,, NR, NR
Andre Turner,DE,Harper Woods,MI,6'3'',220,,NR,Western Michigan,,,,2013,Western Michigan,,,
Darius Phillips,ATH,Dearborn Heights,MI,5'11'',185,,NR,Western Michigan,NR,,,2013,Western Michigan,,,
Edward Rolle,ATH,Miami,FL,6'3'',190,,NR,Western Michigan,,,,2013,Western Michigan,,,
Kristof Ifkovits,DT,River Grove,IL,6'4'',306,,NR,Western Michigan,NR,,,2013,Western Michigan,,NR,NR
Mario Rodriguez,TE-Y,Portola,CA,6'3'',265,,NR,Western Michigan,,,,2013,Western Michigan,, None, None
Austin Guido,RB,Aurora,IL,5'10'',192,,NR,Western Michigan,,,,2013,Western Michigan,, None, None
Brett Scanlon,K,Dowagiac,MI,6'0'',195,,NR,Western Michigan,,,,2013,Western Michigan,, None, None
Jamar Simpkins,TE-Y,Miami,FL,6'3'',265,,NR,Western Michigan,,,,2013,Western Michigan,,,
Lonnie Johnson,WR,Gary,IN,6'2'',180,81.0,Western Michigan,,52,,,2014,Western Michigan,,35,5
Chance Stewart,QB-PP,Sturgis,MI,6'5'',210,80.0,Western Michigan,,19,,,2014,Western Michigan,,46,8
Jordan Van Dort,OT,Zeeland,MI,6'5'',275,77.0,Western Michigan,,56,,,2014,Western Michigan,,94,16
Jay Harris,WR,Exton,PA,5'11'',170,77.0,Western Michigan,,,,,2014,Western Michigan,,,
Kenneth Finley Jr.,DT,Muskegon,MI,6'2'',270,76.0,Western Michigan,,80,,,2014,Western Michigan,,117,17
