Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School,University  , State_rank 
Timothy Glass,S,Danville,VA,6'1'',198,NC State,,124,,,2016,North Carolina State,210,52,70,,,
Kollin Byers,OT,Shelby,NC,6'4'',250,NC State,,136,,,2016,North Carolina State,,,68,,,
Thomas Ruocchio,TE,Raleigh,NC,6'4'',205,NC State,,NR,,,2016,North Carolina State,,,NR,,,
Kendall Brown,DE,Jacksonville,FL,6'4'',250,NC State,,,,,2016,North Carolina State, None, None,NR,,,
Connor Haskins,K,Lumberton,NC,5'9'',170,NC State,,,,,2016,North Carolina State, None, None,TR,,,
Matt McKay,QB,Raleigh,NC,6'4'',180,80.0,NC State,14,,,2017,North Carolina State,180,8,,,,
Louis Acceus,OLB,Montvale,NJ,6'1'',205,79.0,NC State,34,,,2017,North Carolina State,68,13,,,,
Nakia Robinson Jr,ATH,Miami,FL,5'10'',180,78.0,NC State,51,,,2017,North Carolina State,279,98,,,,
Joshua Fedd-Jackson,OG,North Arlington,NJ,Queen of Peace High6'3'',330,78.0,NC State,45,,,2017,North Carolina State,75,15,,,,
Grant Gibson,OC,Charlotte,NC,Mallard Creek High School6'1'',302,78.0,NC State,10,,,2017,North Carolina State,311,19,,,,
Max Fisher,WR,Washington,DC,Gonzaga College High School6'2'',190,78.0,NC State,114,,,2017,North Carolina State,,,,,,
Emeka Emezie,WR,Waxhaw,NC,Marvin Ridge High School6'4'',200,78.0,NC State,,,,2017,North Carolina State,331,21,,,,
Antoine Thompson,WR,Plant City,FL,Plant City High School6'1'',169,77.0,NC State,123,,,2017,North Carolina State,,,,,,
Kevince Brown,DE,Winter Park,FL,Winter Park High School6'5'',242,77.0,NC State,74,,,2017,North Carolina State,,,,,,
Erin Collins,RB,Seffner,FL,Armwood High School5'10'',180,76.0,NC State,415,,,2017,North Carolina State,64,150,,,,
Chris Ingram,CB,Mooresville,NC,Mooresville Senior High School6'0'',178,76.0,NC State,71,,,2017,North Carolina State,420,26,,,,
Raven Saunders,ILB,Palm Beach Gardens,FL,Dwyer High School6'0'',215,76.0,NC State,28,,,2017,North Carolina State,429,156,,,,
Isaiah Moore,OLB,Chesterfield,VA,Lloyd C. Bird High School6'2'',210,74.0,NC State,145,,,2017,North Carolina State,81,31,,,,
Xavier Lyas,DE,Plant City,FL,Durant High School6'4'',210,74.0,NC State,99,,,2017,North Carolina State,518,195,,,,
Damien Darden,TE,Pikeville,NC,Charles B. Aycock High School6'4'',240,74.0,NC State,35,,,2017,North Carolina State,526,33,,,,
Dante Johnson,DT,Apopka,FL,Wekiva High School6'4'',249,74.0,NC State,81,,,2017,North Carolina State,538,202,,,,
Ibrahim Kante,DE,Pawling,NY,Trinity Pawling School6'4'',240,74.0,NC State,104,,,2017,North Carolina State,153,11,,,,
Bryson Speas,OG,Greensboro,NC,Dudley High School6'4'',254,72.0,NC State,107,,,2017,North Carolina State,625,36,,,,
Adam Boselli,TE-H,Jacksonville,FL,Jacksonville Episcopal High School6'5'',200,71.0,NC State,26,,,2017,North Carolina State,,,,,,
Dalton Counts,S,Garner,NC,Garner Senior High School6'1'',199,,NC State,,,,2017,North Carolina State, NR, NR,,,,
Porter Rooks,WR,Charlotte,NC,6'1'',189,NC State,,30,,,2020,North Carolina State,87,7,82,,,
Nehki Meredith,ATH,Virginia Beach,VA,5'9'',175,NC State,,30,,,2020,North Carolina State,,,80,,,
Anthony Smith,WR,Huntingtown,MD,6'1'',170,NC State,,80,,,2020,North Carolina State,,,79,,,
Joshua Pierre-Louis,ATH,North Palm Beach,FL,5'9'',165,NC State,,80,,,2020,North Carolina State,236,80,78,,,
