Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School
Ricky White,WR,Marietta,GA,6'0'',175,77,,109,,,2020,Michigan State,,,,Michigan State
Tommy Guajardo,TE-Y,Dearborn,MI,6'3'',230,77,,15,,,2020,Michigan State,,,,Michigan State
Cal Haladay,ILB,Catawissa,PA,6'0'',200,77,,6,,,2020,Michigan State,,,,Michigan State
Kyle King,DE,New Palestine,IN,6'4'',235,76,,,,,2020,Michigan State,,,,Michigan State
Noah Kim,QB-PP,Chantilly,VA,6'2'',165,76,,37,,,2020,Michigan State,,,,Michigan State
Simeon Barrow Jr.,DE,Grovetown,GA,6'2'',255,76,,386,,,2020,Michigan State,,,,Michigan State
Ian Stewart,WR,Gibraltar,MI,6'2'',200,75,,158,,,2020,Michigan State,,,,Michigan State
Devin Hightower,OLB,Akron,OH,6'1'',205,75,,90,,,2020,Michigan State,,,,Michigan State
Montorie Foster,WR,Lakewood,OH,6'2'',175,75,,176,,,2020,Michigan State,,,,Michigan State
Chris Mayfield,DE,Hilliard,OH,6'4'',240,75,,119,,,2020,Michigan State,,,,Michigan State
Cole Demarzo,OLB,Hilton Head,SC,6'2'',200,75,,107,,,2020,Michigan State,,,,Michigan State
Terry Lockett,ATH,Minneapolis,MN,5'11'',165,74,,99,,,2020,Michigan State,,,,Michigan State
Jeff Pietrowski,DE,Lakewood,OH,6'1'',235,74,,139,,,2020,Michigan State,,,,Michigan State
Jack Olsen,K,Wheaton,IL,5'11'',175,74,,15,,,2020,Michigan State,,,,Michigan State
Avery Dunn,DE,Shaker Heights,OH,6'3'',220,74,,161,,,2020,Michigan State,,166,56,Michigan State
Angelo Grose,CB,Mansfield,OH,5'10'',175,73,,148,,,2020,Michigan State,,187,64,Michigan State
Jasiyah Robinson,DE,Groveport,OH,6'3'',225,72,,194,,,2020,Michigan State,,,,Michigan State
Donovan Eaglin,RB,Manvel,TX,5'11'',215,72,,133,,,2020,Michigan State,,,,Michigan State
Justin Stevens,OT,Mississauga,Clarkson Football North,6'6'',285,72,,172,,,2020,Michigan State,,,,Michigan State
Nolan Rossback,LS (TR),Hudsonville,MI,6'1'',200,TR,,,,,2020,Michigan State,,,,Michigan State
Nick Marsh,WR,River Rouge,MI,6'3'',205,,,20,,,2024,Michigan State,82.0,20,3,
Rustin Young,OG,Honolulu,HI,6'4'',270,,,9,,,2024,Michigan State,82.0,29,2,
Justin Denson,S,Providence,RI,6'1'',185,,,33,,,2024,Michigan State,79.0,53,1,
Mercer Luniewski,OT,Cincinnati,OH,6'7'',300,,,,,,2024,Michigan State,78.0,,,
Jaylen Thompson,CB,Murfreesboro,TN,6'1'',175,,,84,,,2024,Michigan State,77.0,400,25,
Jaylan Brown,WR,Nacogdoches,TX,6'3'',185,,,115,,,2024,Michigan State,77.0,,,
Kekai Burnett,DE,Honolulu,HI,6'2'',225,,,,,,2024,Michigan State,76.0,,,
Payton Stewart,OT,Kelso,WA,6'6'',250,,,104,,,2024,Michigan State,76.0,153,13,
Mikeshun Beeler,DT,Chicago,IL,6'3'',275,,,70,,,2024,Michigan State,76.0,128,26,
Charlton Luniewski,OG,Cincinnati,OH,6'5'',280,,,,,,2024,Michigan State,76.0,,,
Austin Clay,WR,Middleburg Heights,OH,6'0'',170,,,138,,,2024,Michigan State,76.0,133,48,
Andrew Brinson IV,ATH,Tampa,FL,6'1'',180,,,107,,,2024,Michigan State,76.0,,,
Brady Pretzlaff,ILB,Gaylord,MI,6'3'',220,,,51,,,2024,Michigan State,76.0,,,
Makhi Frazier,ATH,McKinney,TX,5'11'',210,,,121,,,2024,Michigan State,75.0,,,
Alessio Milivojevic,QB-PP,Wheaton,IL,6'2'',215,,,54,,,2024,Michigan State,75.0,,,
Rakeem Johnson,OG,Boise,ID,6'3'',255,,,90,,,2024,Michigan State,75.0,,,
Ryland Jessee,QB-PP,La Mesa,CA,6'4'',205,,,58,,,2024,Michigan State,75.0,,,
Brandon Tullis,RB,Frisco,TX,6'1'',205,,,106,,,2024,Michigan State,75.0,,,
Martin Connington,K,Meridian,ID,6'0'',180,,,14,,,2024,Michigan State,74.0,,,
Wyatt Hook,TE-Y,Cupertino,CA,6'6'',240,,,48,,,2024,Michigan State,74.0,251,133,
Keshawn Williams,CB,Murfreesboro,TN,6'0'',180,,,178,,,2024,Michigan State,73.0,,,
Aidan Chiles,QB-PP,Long Beach,CA,6'3'',200,Oregon State University,,,,,2024,Michigan State,,,,
Jack Velling,TE-H,Seattle,WA,6'4'',241,Oregon State University,,,,,2024,Michigan State,,,,
Luke Newman,OT,Bloomfield Hills,MI,6'4'',310,College of the Holy Cross,,,,,2024,Michigan State,,,,
Anthony Jones,OLB,Las Vegas,NV,6'4'',255,Indiana University,,,,,2024,Michigan State,,,,
