Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,School
Ernest Moore,OT (JC),San Francisco,CA,6'6'',300,NR,,,,,2018,Hawaii,,,,City College of San Francisco
Alex Dalpe,OG (JC),Orange,CA,6'3'',290,NR,,,,,2018,Hawaii,,,,Long Beach City College
Elijah Palmer,CB,Las Vegas,NV,5'9'',180,79.0,Hawai'i,54,,,2023,Hawaii,,79,7,
Jamih Otis,ILB,Las Vegas,NV,6'0'',220,75.0,Hawai'i,44,,,2023,Hawaii,,202,13,
Aiden McComber,DT,Las Vegas,NV,6'0'',260,74.0,Hawai'i,100,,,2023,Hawaii,,236,17,
John-Keawe Sagapolutele,QB-PP,Honolulu,HI,6'1'',185,,Hawai'i,,,,2023,Hawaii,,,,
Zoram Petelo,ATH,Layton,UT,6'5'',225,,Hawai'i,NR,,,2023,Hawaii,,,,
Kaleb Jackson-Carter,OT,Goodyear,AZ,6'5'',275,,Hawai'i,,,,2023,Hawaii,,,,
Ha'aheo Dela Cruz,DE,Honolulu,HI,6'2'',225,,Hawai'i,,,,2023,Hawaii,,,,
Eddie Osei-Nketia,WR,,,6'5'',210,,Hawai'i,,,,2023,Hawaii,, None, None,
Domata Peko Jr.,ATH,Calabasas,CA,6'4'',220,,Hawai'i,,,,2023,Hawaii,, None, None,
Junior Fiaui,OLB,Mountain View,CA,6'2'',200,,Hawai'i,NR,,,2023,Hawaii,,NR,NR,
Isaac Maugaleoo,OT,Ewa Beach,HI,6'7'',320,,Hawai'i,,,,2023,Hawaii,, None, None,
Makana Meyer,S,Mililani,HI,5'11'',190,,Hawai'i,,,,2023,Hawaii,, NR, NR,
Vaifanua Peko,OLB,Fono,AS,6'3'',220,,Hawai'i,,,,2023,Hawaii,, None, None,
Li'atama Uiliata,WR,Waipahu,HI,5'11'',200,,Hawai'i,,,,2023,Hawaii,,,,
Maclane Watkins,WR,Burien,WA,6'4'',170,,Hawai'i,,,,2023,Hawaii,,,,
Ezekiel Rodrigues,S,Mililani,HI,6'0'',190,,Hawai'i,,,,2023,Hawaii,, None, None,
Deliyon Freeman,CB,Sharpsburg,GA,5'11'',175,,Hawai'i,,,,2023,Hawaii,,,,
Justin Sinclair,S,Mountain View,CA,5'10'',190,,Hawai'i,,,,2023,Hawaii,, None, None,
Daniel Williams,DT,Athens,TX,6'0'',320,,Hawai'i,,,,2023,Hawaii,,,,
Christion Williams,S,Tallahassee,FL,5'11'',185,,Hawai'i,,,,2023,Hawaii,,,,
Caleb Brown,CB,Anniston,AL,6'0'',165,,Hawai'i,,,,2023,Hawaii,, None, None,
Freddie Pelling,OT,England,EU,6'8'',305,,Hawai'i,,,,2023,Hawaii,,,,
DaMarco Moorer,S,Riverside,CA,6'1'',185,,Hawai'i,,,,2023,Hawaii,,,,
Micah Alejado,QB-PPL,Las Vegas,NV,5'11'',180,Bishop Gorman High School,,21,,,2024,Hawaii,79.0,55,3,
Nazaiah Caravallo,OLB,Honolulu,HI,6'3'',215,Kamehameha Schools,,,,,2024,Hawaii,76.0, None, None,
Alvin Puefua,DT,Salt Lake City,UT,6'3'',310,West High School,,196,,,2024,Hawaii,75.0,87,22,
Alika Cavaco-Amoy,OLB,Honolulu,HI,6'1'',210,Punahou School,,115,,,2024,Hawaii,73.0,,,
Noah Wily,DE,Honolulu,HI,6'4'',225,Saint Louis School,,173,,,2024,Hawaii,73.0,,,
Tristan Waiamau-Galindo,DE,Honolulu,HI,6'2'',215,Kamehameha Schools,,190,,,2024,Hawaii,72.0,288,10,
Tu'i Muti,,Honolulu,HI,6'2'',290,Punahou School,,,,,2024,Hawaii,, None, None,
Jay Tauala-Harris,,Lakewood,CA,6'3'',280,Lakewood High School,,,,,2024,Hawaii,,,,
Frank Abreu,WR,Honolulu,HI,6'1'',180,Kamehameha Schools,,,,,2024,Hawaii,, None, None,
Jarvis Heimuli,,Euless,TX,6'2'',190,Trinity High School,,NR,,,2024,Hawaii,, NR, NR,
Joshua Tavui,,Ewa Beach,HI,6'4'',300,Campbell High School,,,,,2024,Hawaii,,,,
Sitaniselao Mikaele,,Honolulu,HI,6'0'',230,Farrington High School,,,,,2024,Hawaii,,,,
Armando Lewis,,Las Vegas,NV,6'3'',205,Canyon Springs High School,,,,,2024,Hawaii,,,,
Elijah Henderson,,Gardena,CA,6'5'',300,Junipero Serra High School,,NR,,,2024,Hawaii,,,,
Daniel Faletoi,DE,Honolulu,HI,6'3'',230,Roosevelt High School,,,,,2024,Hawaii,,,,
Matteus Ioane,ILB,Wahiawa,HI,6'1'',210,Leilehua High School,,NR,,,2024,Hawaii,,,,
Jeremiah White,,Honolulu,HI,6'0'',180,Kaimuki High School,,,,,2024,Hawaii,, None, None,
Christian Perry,OT (JC),Temecula,CA,6'6'',295,Riverside Community College,,,,,2024,Hawaii,, None, None,
Christian Vaughn,RB (JC),Las Vegas,NV,5'11'',215,Butte College,,,,,2024,Hawaii,,,,
Fabian Ross,CB (TR),Las Vegas,NV,6'0'',200,University of Southern California,,,,,2024,Hawaii,,,,
