Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank
Carter Wheat,TE-Y,Mesa,AZ,6'3'',225,71.0,BYU,,38,,,2019,Brigham Young,,
Trey Andersen,TE-Y,Lehi,UT,6'5'',229,69.0,BYU,,42,,,2019,Brigham Young,277,22
Keanu Hill,WR,Euless,TX,6'2'',200,69.0,BYU,,207,,,2019,Brigham Young,344,253
Ethan Erickson,TE-H,Kahuku,HI,6'4'',215,69.0,BYU,,41,,,2019,Brigham Young,,
Luc Andrada,ATH,Pueblo,CO,5'10'',175,,BYU,,,,,2019,Brigham Young,,
Masen Wake,DE,Highland,UT,6'1'',247,,BYU,,,,,2019,Brigham Young, None, None
Nathan Upham,WR,Lehi,UT,6'4'',184,,BYU,,NR,,,2019,Brigham Young,,
Ethan Slade,S,East Orem,UT,5'11'',170,,BYU,,NR,,,2019,Brigham Young,,
Javelle Brown,ATH,San Diego,CA,6'1'',180,,BYU,,,,,2019,Brigham Young, None, None
Dimitri Gallow,S (JC),Moreno Valley,CA,6'0'',190,,BYU,,NR,,,2019,Brigham Young,,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,55.0,Air Force,,,,,2021,Brigham Young,,
Brett Skene,WR,Denver,CO,6'1'',190.0,78.0,Air Force,,,,,2021,Brigham Young,,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,Air Force,,,,,2021,Brigham Young,,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,64.0,Air Force,,,,,2021,Brigham Young,,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,Air Force,,,,,2021,Brigham Young,,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,69.0,Air Force,,,,,2021,Brigham Young,,
Steve Jones,CB,Kansas City,MO,,,,Air Force,,,,,2021,Brigham Young,,
Chad Gross,K,Suwanee,GA,,,,Air Force,,,,,2021,Brigham Young,,
Irvin George,RB,Orlando,FL,5'11'',190.0,,Air Force,,,,,2021,Brigham Young,,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,64.0,Air Force,,,,,2021,Brigham Young,,
Jeff Abt,QB,Houston,TX,6'2'',190.0,75.0,Air Force,,,,,2021,Brigham Young,,
Faletau Satuala,WR,Bountiful,UT,6'3'',195,,80,BYU,28,,,2024,Brigham Young,46,4
Naki Tuakoi,ILB,Oakland,CA,6'4'',225,,79,BYU,12,,,2024,Brigham Young,60,33
Ryner Swanson,TE-H,Laguna Beach,CA,6'4'',230,,79,BYU,29,,,2024,Brigham Young,,
Joe Brown,OG (LQ),Highland,UT,6'3'',280,,79,BYU,,,,2024,Brigham Young,,
Noah Lugo,QB-DT,Fort Worth,TX,6'2'',180,,78,BYU,22,,,2024,Brigham Young,164,131
Therrian Alexander III,S,Decatur,GA,6'2'',165,,77,BYU,64,,,2024,Brigham Young,372,96
